MISDistrictID,MISDistrictName,MISCDBlockID,MISCDBlockName
70,Ambala,1143,Shahzadpur
70,Ambala,1141,Naraingarh
70,Ambala,1142,Saha
70,Ambala,1140,Barara
70,Ambala,1139,Ambala-II
70,Ambala,1138,Ambala-I
81,Bhiwani,1144,Bawani Khera
81,Bhiwani,1153,Behal
81,Bhiwani,1148,Loharu
81,Bhiwani,1150,Siwani
81,Bhiwani,1145,Bhiwani
81,Bhiwani,1151,Kairu
81,Bhiwani,1149,Tosham
642,Charkhi Dadri,1147,Badhra
642,Charkhi Dadri,1152,Dadri-I (Part)
642,Charkhi Dadri,1146,Dadri-II
88,Faridabad,1155,Ballabgarh
88,Faridabad,1154,Faridabad
78,Fatehabad,1161,Jakhal
78,Fatehabad,1158,Bhuna
78,Fatehabad,1157,Tohana
78,Fatehabad,1159,Ratia
78,Fatehabad,1156,Bhattu Kalan
78,Fatehabad,1160,Fatehabad
86,Gurugram,1165,Sohna
86,Gurugram,1162,Pataudi
86,Gurugram,1163,Farrukhnagar
86,Gurugram,1164,Gurgaon
80,Hisar,1172,Narnaund
80,Hisar,1171,Hisar-II
80,Hisar,1170,Hisar-I
80,Hisar,1169,Adampur
80,Hisar,1168,Agroha
80,Hisar,1166,Uklana
80,Hisar,1221,Barwala
80,Hisar,1174,Hansi-I
80,Hisar,1173,Hansi-II
83,Jhajjar,1175,Bahadurgarh
83,Jhajjar,1179,Salhawas
83,Jhajjar,1176,Beri
83,Jhajjar,1177,Jhajjar
83,Jhajjar,1178,Matanhail
77,Jind,1183,Julana
77,Jind,1184,Alewa
77,Jind,1181,Uchana
77,Jind,1186,Safidon
77,Jind,1185,Pillukhera
77,Jind,1180,Narwana
77,Jind,1182,Jind
73,Kaithal,1192,Siwan
73,Kaithal,1191,Kalayat
73,Kaithal,1187,Guhla
73,Kaithal,1190,Rajound
73,Kaithal,1188,Kaithal
73,Kaithal,1189,Pundri
74,Karnal,1198,Nissing At Chirao
74,Karnal,1197,Nilokheri
74,Karnal,1195,Indri
74,Karnal,1194,Gharaunda (Part)
74,Karnal,1193,Assandh
74,Karnal,1196,Karnal
72,Kurukshetra,1200,Shahbad
72,Kurukshetra,1201,Thanesar
72,Kurukshetra,1203,Babain
72,Kurukshetra,1199,Ladwa
72,Kurukshetra,1204,Ismailabad
72,Kurukshetra,1202,Pehowa
84,Mahendragarh,1206,Mahendragarh
84,Mahendragarh,1211,Satnali
84,Mahendragarh,1209,Nangal Chaudhry
84,Mahendragarh,1210,Nizampur
84,Mahendragarh,1207,Ateli Nangal
84,Mahendragarh,1205,Kanina
84,Mahendragarh,1212,Sihma
84,Mahendragarh,1208,Narnaul
87,Nuh Mewat,1213,Taoru
87,Nuh Mewat,1214,Nuh
87,Nuh Mewat,1215,Nagina
87,Nuh Mewat,1217,Ferozepur Jhirka
87,Nuh Mewat,1216,Punahana
89,Palwal,1229,Hodal
89,Palwal,1232,Prithla
89,Palwal,1230,Hassanpur
89,Palwal,1228,Palwal
89,Palwal,1231,Hathin
69,Panchkula,1221,Barwala
69,Panchkula,1218,Raipurrani
69,Panchkula,1219,Pinjore
69,Panchkula,1220,Morni
75,Panipat,1223,Israna
75,Panipat,1224,Madlauda
75,Panipat,1225,Panipat
75,Panipat,1226,Samalkha
75,Panipat,1222,Bapoli
75,Panipat,1227,Sanoli
85,Rewari,1237,Khol At Rewari
85,Rewari,1235,Jatusana
85,Rewari,1233,Bawal
85,Rewari,1234,Rewari
85,Rewari,1236,Nahar
82,Rohtak,1242,Sampla
82,Rohtak,1239,Maham
82,Rohtak,1241,Rohtak
82,Rohtak,1240,Kalanaur
82,Rohtak,1238,Lakhan Majra
79,Sirsa,1243,Dabwali
79,Sirsa,1246,Sirsa
79,Sirsa,1244,Odhan
79,Sirsa,1247,Nathusari Chopta
79,Sirsa,1248,Rania
79,Sirsa,1249,Ellenabad
79,Sirsa,1245,Baragudha
76,Sonipat,1257,Rai
76,Sonipat,1256,Murthal
76,Sonipat,1251,Gohana
76,Sonipat,1250,Mundlana
76,Sonipat,1255,Kharkhoda
76,Sonipat,1252,Sonipat
76,Sonipat,1254,Ganaur
76,Sonipat,1253,Kathura
71,Yamunanagar,1258,Bilaspur
71,Yamunanagar,1263,Sadaura
71,Yamunanagar,1259,Chhachhrauli
71,Yamunanagar,1260,Jagadhri
71,Yamunanagar,1262,Radaur
71,Yamunanagar,1261,Mustafabad
