DistrictID,Mname
70,Ambala
70,Ambala
70,Ambala
70,Ambala
70,Ambala
70,Ambala
81,Bhiwani
81,Bhiwani
81,Bhiwani
81,Bhiwani
81,Bhiwani
81,Bhiwani
81,Bhiwani
642,Charkhi Dadri
642,Charkhi Dadri
642,Charkhi Dadri
88,Faridabad
88,Faridabad
78,Fatehabad
78,Fatehabad
78,Fatehabad
78,Fatehabad
78,Fatehabad
78,Fatehabad
86,Gurugram
86,Gurugram
86,Gurugram
86,Gurugram
80,Hisar
80,Hisar
80,Hisar
80,Hisar
80,Hisar
80,Hisar
80,Hisar
80,Hisar
80,Hisar
83,Jhajjar
83,Jhajjar
83,Jhajjar
83,Jhajjar
83,Jhajjar
77,Jind
77,Jind
77,Jind
77,Jind
77,Jind
77,Jind
77,Jind
73,Kaithal
73,Kaithal
73,Kaithal
73,Kaithal
73,Kaithal
73,Kaithal
74,Karnal
74,Karnal
74,Karnal
74,Karnal
74,Karnal
74,Karnal
72,Kurukshetra
72,Kurukshetra
72,Kurukshetra
72,Kurukshetra
72,Kurukshetra
72,Kurukshetra
84,Mahendragarh
84,Mahendragarh
84,Mahendragarh
84,Mahendragarh
84,Mahendragarh
84,Mahendragarh
84,Mahendragarh
84,Mahendragarh
87,Nuh Mewat
87,Nuh Mewat
87,Nuh Mewat
87,Nuh Mewat
87,Nuh Mewat
89,Palwal
89,Palwal
89,Palwal
89,Palwal
89,Palwal
69,Panchkula
69,Panchkula
69,Panchkula
69,Panchkula
75,Panipat
75,Panipat
75,Panipat
75,Panipat
75,Panipat
75,Panipat
85,Rewari
85,Rewari
85,Rewari
85,Rewari
85,Rewari
82,Rohtak
82,Rohtak
82,Rohtak
82,Rohtak
82,Rohtak
